0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
-40.51034694815409,-39.7213803353069,-35.63001385421299,-24.70578420490999,-20.050908345951118,-20.306019552878315,-24.251691521423183,-27.719952798676506,-29.142279029314587,-24.87288742773423,-19.234692082783937,-17.480159009864344,-16.212954783404104,-18.434882756995368,-23.031301394364018,-31.732715640208344,-27.53555330035916,-23.38512003889914,-22.662563587531892,-19.176796632458764,-16.23149447985623,-17.12827318709521,-16.154002550697246,-15.651517821790687,-14.304545338356114,-15.056530328848009,-16.492819569581908,-16.445742905495113,-16.475837997672325,-20.734347471904076,-17.208685036651694,-13.977126286965369,-16.55931633510859,-19.273858582390805,-17.947240734755436,-16.52747764309586,-18.676227747382743,-25.975660316446216,-34.77626125013685,-36.077210814424184,-36.460810455604864,-36.36216598982693,-35.533060537923284,-37.01768930917031,-37.783805063621514,-38.07392231773492,-37.407058825114284,-36.59706141428933,-37.83214571662652,-37.79286378975787,-36.68512992129339,-37.79369442614224,-39.72375765230049,-38.78132235041652,-37.65949495908507,-37.78805468761663,-38.693966081086046,-38.0816595181093,-36.430135043303395,0.0,0.0,0.0,0.0,0.0,0.0,male_angry
-45.05461298599778,-45.26164605692053,-45.49729702444487,-45.81422586765324,-43.843946550069745,-43.862654711278225,-44.89644495504032,-44.63662453534778,-45.06227433545764,-45.714409755177265,-44.82299667169697,-43.57304577886393,-42.07220488286335,-41.062022333884705,-42.78466346073618,-44.96375122883394,-43.69921568721559,-28.363878436907683,-21.973159253739468,-23.462213804360672,-26.149838778217028,-25.74148287273577,-26.88861372360933,-27.8397483432314,-27.393425862530417,-27.367427013804733,-30.493036554981394,-30.774710937570735,-19.663813572380075,-16.70310096265958,-20.292374962463928,-23.698814436291215,-25.220756631924623,-26.842608761082843,-25.422630027292783,-25.804714254675666,-26.331665000961344,-26.345084519860954,-28.204149970848697,-25.923548129899537,-22.62141264425797,-24.050895910567746,-21.34478272665982,-16.662773345677383,-14.426955911034778,-15.853631846676668,-18.617821834498237,-22.314076491001646,-25.67099802836976,-27.22647773278684,-23.81447022904037,-20.18228914172284,-19.710611011886115,-20.920471776318998,-16.58636605401366,-12.342273851484963,-11.13111783043249,-13.77405484985481,-17.06496584502762,-19.269486248803016,-19.526327214000045,-19.462692041929305,-21.45432609948557,-20.431887056508113,-18.81579512257345,male_angry
-38.91240374171373,-38.788053493252384,-39.403935212014,-39.120316653607986,-37.94903919526026,-38.84549001864534,-39.53866163575211,-39.214734293910126,-38.22600994020368,-38.07385299403506,-38.641273473662736,-38.4298017787874,-36.69734491006,-35.486180507933575,-34.8533910461943,-18.370652036067256,-9.698741087661743,-9.068723415056368,-13.154253559101729,-20.100034012461435,-17.803381655695627,-15.663858575625905,-15.693790938822806,-14.772519070290846,-16.998011533191725,-25.9488559838531,-30.31857434079985,-29.444857945267316,-19.542944809254745,-16.538101908109223,-18.44816511893862,-17.470428504360846,-13.632037538580615,-11.734157011120725,-13.25026226955032,-14.95544632603071,-19.09498796601083,-21.208149241406332,-17.924376186465583,-16.62073626472897,-19.3934393956799,-18.819915013663874,-17.344310632196958,-20.62560968906956,-25.03572260941639,-23.02797260611364,-18.427986449121853,-16.055424637110505,-17.774587241295446,-20.659276204589485,-18.708306037281805,-13.349842120680705,-13.967265034744113,-17.66424297841826,-17.70574925234066,-18.24753059339775,-19.792347006733795,-19.30214778946042,-19.43897138128625,-17.977165141201265,-18.18451300861326,-23.452364185643013,-25.272345590958764,-28.362499301954376,-36.01622249810935,male_angry
-44.90471744945138,-43.23317397880299,-42.13492746934047,-42.343117532490766,-43.17382908886097,-43.52479928956003,-42.5540263603573,-42.304305004307714,-42.553127045207184,-42.62283463984012,-42.75919503158763,-38.26992454350582,-37.92726960588564,-40.528721789215915,-40.12266002466295,-32.441633031140626,-22.01815045205803,-16.520246307390366,-17.06226615819619,-15.92884322851349,-16.35364922718294,-24.2841666508555,-16.116910416608007,-13.427015020962687,-15.406998753719515,-17.224506776664786,-18.29072647151544,-21.203140473677724,-25.70658570486904,-24.48633514339804,-23.666584000457643,-25.210648863075736,-25.12363572287713,-25.246497272430563,-28.964710817056837,-23.907135595354266,-15.603401910881775,-10.744511029391886,-9.468161829827892,-11.327637710693741,-15.83791238939544,-22.58973503741583,-26.171749088362187,-26.966263309051264,-30.593766906076134,-25.40207517150384,-22.0046263465485,-20.258309350135566,-22.223747962231794,-23.7841416272596,-21.38006407645181,-17.688472222705702,-21.325722543594186,-24.641800983548386,-20.310007785557893,-19.466813357109285,-19.236907032068743,-23.013510376750723,-24.601165591449725,-14.713429085586862,-14.576524470892188,-20.415012772936286,-19.295489424007563,-18.23252216287075,-21.354322433078696,male_angry
-37.94450970342854,-38.42915678699059,-38.983283994949936,-38.899094630138954,-39.17015675658728,-38.86525212577619,-39.17415204441957,-37.46794790792094,-35.97522821369431,-34.791989092737815,-35.48529419404421,-36.34625073522637,-22.176468207980506,-9.909875806224882,-7.7656962444199085,-11.919898759500352,-15.25752310287393,-19.021076922996365,-28.644272550738428,-36.6328121166846,-25.597636526642642,-13.542536070208865,-8.684836565474772,-8.840529158081972,-9.867600587415135,-12.324562466019655,-14.389199169642222,-18.199769894655187,-23.896404136423545,-25.186736289322134,-15.082424717689285,-11.608694339485847,-13.218376436583032,-12.88048854393291,-12.56011149134966,-12.699223016175171,-10.597349365172846,-9.681473284109705,-10.480908773572128,-11.13121136248059,-16.637581632266517,-15.952779684386883,-8.694805122402354,-8.324948435917792,-8.442119254050361,-12.490481090050833,-21.729045638280976,-27.4901760775879,-22.50688859027325,-14.797245046331398,-12.282531650549622,-11.871236567881152,-13.03032853417646,-12.165800153399225,-16.491738985663773,-22.97667999078636,-23.83022836165016,-21.39078505508434,-21.20356269937975,-25.31170484180042,-33.11249232364076,-37.9146203233537,-36.77036665722966,-37.33882493426899,-35.36932860926846,male_angry
-43.89513070475622,-42.72648362918414,-41.792517796370625,-42.21967915655503,-43.738355778251425,-43.410167937854,-42.20632679254488,-42.20467055076653,-43.42469357591938,-42.45341305364323,-43.130906011546486,-43.552201988949605,-41.832064625130975,-41.97924593131488,-35.28173072102256,-30.497357171563756,-30.516891069957257,-31.882188282638428,-34.00128871588819,-33.22340867117671,-34.03166689962336,-31.49049570675826,-27.821121753139728,-30.555490382733037,-31.63315474179586,-28.663269631614476,-24.004707643607865,-21.812607396933167,-20.767145838785304,-21.554629659959765,-28.422885848694065,-32.90350896839734,-30.048469031038625,-25.243092908715816,-23.13312843327592,-24.041056142063237,-25.09170080479133,-24.768820993354407,-24.74370665441309,-26.67222619164158,-28.90337816912483,-23.895193161575882,-19.111298965038138,-13.135981443653039,-13.053422487185149,-16.74695600597611,-19.256875957535758,-21.109593601758533,-17.767927064025994,-19.946450883926573,-30.24133082690791,-38.40886286148405,-38.383351525450934,-32.223316441621435,-26.65030517489802,-27.513120501016342,-30.12169115964669,-21.6923385731464,-17.42598306172612,-21.82370926726458,-25.807393908511337,-26.05541790902726,-28.822862677616904,-34.69075358699817,-37.65926168851631,male_angry
-52.511814080657594,-52.52648042970482,-52.685870176698195,-52.57609340183017,-52.53456442938325,-51.32443051561912,-50.61978785001281,-49.386290301698416,-41.86418210009675,-30.07810339478594,-26.71881968139142,-29.405820134634798,-30.43642302002992,-27.73476513047168,-30.770004777872067,-36.252268449621866,-34.42563998682421,-26.112089276509128,-22.402423110478324,-22.558022263546377,-27.690534344503412,-34.79124192468776,-39.75382021811731,-32.668515025667496,-21.254864405648206,-17.983858365153424,-19.01570000220972,-22.916230420379463,-23.92338571064945,-23.664744432097237,-25.217667904734263,-25.180368376273805,-23.152959339558546,-26.878510765034243,-28.609709662862073,-22.081271132007107,-19.86907896630496,-20.92932343552036,-28.767390059022485,-27.747640891359957,-26.16572912599857,-24.978432337113173,-23.725168025097705,-25.64605989981012,-28.037116374304688,-27.32822528336522,-27.565808831664018,-35.01678246840588,-40.733055082911555,-45.170189871873035,-45.99646929851778,-46.20139583241754,-46.62300705424564,-48.045947513630395,-48.71822896166118,-49.496246456557124,-50.04409979029944,-49.7708548532773,-49.74834834575257,-51.40802135134395,-51.9534472265024,-52.10051113439185,-52.41393179629115,0.0,0.0,male_angry
-51.3921191159005,-51.360684567155104,-50.20524960254359,-50.935969723863835,-50.6038803846186,-46.776698166966746,-42.933364301590736,-41.77789843062912,-42.160957808136544,-31.06143145225698,-20.86416307699538,-20.54727301563543,-23.917919407269412,-28.570361911522262,-30.806080043839394,-30.97395302291689,-32.99965247442209,-25.51575500018089,-23.426229931095612,-26.573612183316666,-33.192169471717506,-36.75355496052285,-39.667397858256884,-41.76057057773654,-41.391685463437724,-38.20458207950797,-32.95363323656929,-33.243503641852065,-32.84238072914249,-32.56838275862299,-30.26050485068453,-31.290052345031597,-35.78537440980686,-37.53990584294849,-38.70135550165997,-26.946886674581087,-14.464966680156316,-10.99792590652385,-14.99000755944107,-23.577443076910455,-23.531352207265197,-17.981479578957444,-19.087517207491267,-21.202820701711893,-22.85373819841723,-24.761878977732632,-27.327857734901922,-27.338491153724824,-22.475382654079308,-23.194724659779812,-27.01616308756801,-26.355888609605948,-26.69422243103916,-27.96159099129523,-35.298532731473244,-32.70104574231571,-28.121896116574934,-29.459888770147913,-36.37435667159247,-43.685751400960356,-44.53877333855615,-45.45750236847712,-47.552241224844565,-48.338182507865746,-47.97589100875746,male_angry
-46.96643334878434,-46.52107217720663,-46.60876249915968,-45.362661823016126,-41.8855196335655,-43.20098553281551,-27.115120226100707,-21.31741963880525,-22.747756547012095,-26.190273576548865,-29.422367464775263,-35.73576817639582,-36.371148256216365,-32.62495478926313,-30.296269594958748,-31.041944906120897,-28.783695397093418,-28.223340677388236,-33.312917657981,-41.33264185670443,-42.99744367302242,-44.39179734025285,-42.11060606552967,-39.85295163419187,-40.278940944171886,-41.79110125011026,-43.31221904051017,-48.3130022720835,-48.19231022485996,-41.241860542660966,-37.9231807082782,-29.70757378490493,-23.317646159375183,-25.047909439415115,-33.525940620348024,-38.55799844817027,-38.16718494893067,-38.14565989979262,-39.31935124533899,-42.37853903710867,-42.814314830297796,-41.60881061198721,-37.30912244981152,-34.79497130364428,-30.10166830951838,-23.166119001372014,-21.768229232925055,-22.517898002961406,-26.84428209584242,-33.441669455257475,-38.64833218229221,-40.06740593132519,-37.3903501696111,-32.31894191769664,-24.87291581767682,-18.11478606364426,-18.033769653562285,-23.914755283590164,-34.730852730776945,-43.05758964313599,-40.137292921033726,-32.26494606364128,-27.76190476868878,-28.449538658850706,-33.04983705561616,male_angry
-49.80731539312675,-49.80731539312675,-49.80731539312675,-49.80731539312675,-49.80731539312675,-49.80731539312675,-49.80731539312675,-49.69122050567676,-49.48114849033617,-49.488954554320266,-49.16024675273476,-49.155200984091906,-48.96310724017739,-49.1898324400432,-47.867812634586485,-40.62456213813145,-28.93843972079396,-24.556881841439992,-25.4034034427673,-25.594318192529492,-25.63161612860741,-31.087315592035296,-39.39226712178999,-27.11238466020055,-23.22531386912581,-25.5409626674814,-27.89462969696092,-29.382393038636756,-33.09796516333526,-36.52460135468003,-39.51130893471653,-38.057752066440806,-32.76845418384278,-32.51800443233529,-34.31258007152958,-34.63254455163891,-35.92448902058656,-35.59270804946533,-27.082131873436367,-22.712949202435286,-23.49493807316893,-26.139014452018777,-30.491768019328443,-35.36459572930641,-33.931591252664795,-31.582296360612233,-32.093768055469255,-32.44278483968842,-28.549151018292903,-25.4716265374823,-23.67016580669859,-23.10021364524956,-26.707834139445996,-32.40563385602937,-30.34935945255473,-33.179606896252125,-32.893329748093684,-27.291276899316266,-24.845166303967048,-24.091215476217727,-23.127495322689374,-26.5754848383758,-27.06372740250646,-20.72387775797653,-19.222820914221796,male_angry
